,video_name,tag
0,C:\Users\jines\Desktop\presi\dataset\train/goal/100 Amazing Goals Of The Year 2022 (online-video-cutter.com) (6).mp4,goal
1,C:\Users\jines\Desktop\presi\dataset\train/goal/100 Amazing Goals Of The Year 2022 (online-video-cutter.com) (7).mp4,goal
2,C:\Users\jines\Desktop\presi\dataset\train/goal/legendary-reactions-in-football_7LY2qjv4.mp4,goal
3,C:\Users\jines\Desktop\presi\dataset\train/goal/legendary-reactions-in-football_DXUcWqzA (1).mp4,goal
4,C:\Users\jines\Desktop\presi\dataset\train/goal/legendary-reactions-in-football_DXUcWqzA.mp4,goal
5,C:\Users\jines\Desktop\presi\dataset\train/goal/legendary-reactions-in-football_i3IcxXzg.mp4,goal
6,C:\Users\jines\Desktop\presi\dataset\train/goal/legendary-reactions-in-football_OdshxPuL.mp4,goal
7,C:\Users\jines\Desktop\presi\dataset\train/goal/legendary-reactions-in-football_OWsglOjz.mp4,goal
8,C:\Users\jines\Desktop\presi\dataset\train/goal/legendary-reactions-in-football_P05rL3CY.mp4,goal
9,C:\Users\jines\Desktop\presi\dataset\train/goal/legendary-reactions-in-football_re3JWT9T.mp4,goal
10,C:\Users\jines\Desktop\presi\dataset\train/happy/(517) EMOTIONAL LAST MINUTE GOALS (HD) - YouTube - Google Chrome 2023-02-15 15-13-03.mp4,happy
11,C:\Users\jines\Desktop\presi\dataset\train/happy/(517) EMOTIONAL LAST MINUTE GOALS (HD) - YouTube - Google Chrome 2023-02-15 15-13-27.mp4,happy
12,C:\Users\jines\Desktop\presi\dataset\train/happy/(517) EMOTIONAL LAST MINUTE GOALS (HD) - YouTube - Google Chrome 2023-02-15 15-13-43.mp4,happy
13,C:\Users\jines\Desktop\presi\dataset\train/happy/(517) EMOTIONAL LAST MINUTE GOALS (HD) - YouTube - Google Chrome 2023-02-15 15-14-14.mp4,happy
14,C:\Users\jines\Desktop\presi\dataset\train/happy/(517) EMOTIONAL LAST MINUTE GOALS (HD) - YouTube - Google Chrome 2023-02-15 15-15-23.mp4,happy
15,C:\Users\jines\Desktop\presi\dataset\train/happy/legendary-reactions-in-football_eT8mq3Ks.mp4,happy
16,C:\Users\jines\Desktop\presi\dataset\train/happy/legendary-reactions-in-football_tjkZ0rVf.mp4,happy
17,C:\Users\jines\Desktop\presi\dataset\train/happy/legendary-reactions-in-football_udE3wB5X.mp4,happy
18,C:\Users\jines\Desktop\presi\dataset\train/loss/emotional-moments-in-football-3-2022-23_0jbA57oi.mp4,loss
19,C:\Users\jines\Desktop\presi\dataset\train/loss/emotional-moments-in-football-3-2022-23_IHwPqz56.mp4,loss
20,C:\Users\jines\Desktop\presi\dataset\train/loss/emotional-moments-in-football-3-2022-23_Je2cLm9R.mp4,loss
21,C:\Users\jines\Desktop\presi\dataset\train/loss/emotional-moments-in-football-3-2022-23_jRpjKN6q.mp4,loss
